"binary", "filename", "configuration", "rate", "time"
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""array""", 2844.114203283857, 0.720083602
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""array""", 163.94516455379815, 12.491981728
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""arraybuffer""", 4815.868557790526, 0.425260776
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""arraybuffer""", 5595.598510954405, 0.366001956
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""arraybuffer-middle""", 5035.204029724924, 0.406736249
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""arraybuffer-middle""", 4039.5012810416365, 0.506993279
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""buffer""", 2975.637274930563, 0.68825593
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""buffer""", 730.9887522046841, 2.801684696
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""uint8array""", 1731.2155498619247, 1.1829838289999999
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""uint8array""", 671.3452828698304, 3.050591182
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""string""", 1594.6967450268644, 1.284256713
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""string""", 400.00108008104144, 5.119986175
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""string-utf8""", 1573.9668550539757, 1.301170983
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""string-utf8""", 373.7253276981247, 5.47996041
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""string-base64""", 1512.6835248883579, 1.353885308
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""string-base64""", 190.43061576471294, 10.754573217
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""object""", 4737.8246096934745, 0.432265896
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""object""", 4780.979132247012, 0.428364137
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""array""", 4441.078573353297, 0.461149238
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""array""", 162.19832874206412, 12.626517276
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""arraybuffer""", 5711.672512555117, 0.358563975
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""arraybuffer""", 5622.731749036232, 0.364235765
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""arraybuffer-middle""", 5671.295741817807, 0.36111677
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""arraybuffer-middle""", 5510.047457193947, 0.371684639
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""buffer""", 2921.6273964470397, 0.700979188
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""buffer""", 930.5044369461609, 2.200956727
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""uint8array""", 1661.6655563852307, 1.232498316
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""uint8array""", 886.956597351879, 2.309019411
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""string""", 1367.6463031435592, 1.497463193
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""string""", 457.27745380132865, 4.478681341
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""string-utf8""", 2118.2241004002312, 0.966847653
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""string-utf8""", 428.45550033620975, 4.779959642
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""string-base64""", 1698.879311118508, 1.205500583
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""string-base64""", 224.78632934366647, 9.11087434
"new", "buffers/buffer-from.js", "n=2048 len=10 source=""object""", 4521.19479716356, 0.452977607
"new", "buffers/buffer-from.js", "n=2048 len=2048 source=""object""", 4486.06230057134, 0.456525091
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""array""", 5118.7033556594615, 0.400101326
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""array""", 191.36047715441958, 10.702314451
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""arraybuffer""", 4809.122669004094, 0.425857301
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""arraybuffer""", 5979.48512230234, 0.342504406
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""arraybuffer-middle""", 5322.447735707287, 0.384785366
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""arraybuffer-middle""", 6307.235913884191, 0.324706421
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""buffer""", 2966.466758480358, 0.6903836
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""buffer""", 925.034992982984, 2.213970299
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""uint8array""", 1756.3933050774247, 1.166025852
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""uint8array""", 902.46079029185, 2.2693506709999998
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""string""", 1364.912927412503, 1.500462014
"old", "buffers/buffer-from.js", "n=2048 len=2048 source=""string""", 461.40048917062563, 4.438660227
"old", "buffers/buffer-from.js", "n=2048 len=10 source=""string-utf8""", 2142.471332878356, 0.955905439
